,고유번호,회사명,종목코드,수정일
1027,00129679,녹십자,006280,20191226
1028,01107665,크리스탈신소재,900250,20190611
1029,00138297,STX,011810,20191209
1030,00108038,엔피씨,004250,20191210
1031,00158112,한국수출포장공업,002200,20191210
1032,00110431,JW신약,067290,20191210
1033,00132804,성신양회,004980,20191211
1034,01042359,지엘팜텍,204840,20200106
1035,00126362,삼성SDI,006400,20200106
1036,00120076,LG상사,001120,20200108
1037,00178790,동양이엔피,079960,20191212
1038,01008762,데브시스터즈,194480,20191212
1039,00372873,KTis,058860,20191216
1040,00476498,컴투스,078340,20191216
1041,01194759,대신밸런스제4호기업인수목적,262830,20191010
1042,00172079,파나진,046210,20200109
1043,00165583,E1,017940,20200109
1044,00653194,에이프로젠 H&G,109960,20200109
1045,00118451,동일제강,002690,20200224
1046,00125646,삼목에스폼,018310,20200224
1047,00119140,핸즈코퍼레이션,143210,20200224
1048,01261893,케이씨텍,281820,20200224
1049,00926522,테고사이언스,191420,20200224
1050,00494218,엘엠에스,073110,20200224
1051,01396676,미래에셋대우스팩4호,333430,20200226
1052,00829380,피제이메탈,128660,20200217
1053,01186811,TS트릴리온,284610,20200226
1054,00964595,엔바이오니아,317870,20200218
1055,00606293,나이스디앤비,130580,20200224
1056,00654175,마이크로프랜드,147760,20200224
1057,01267958,프로테옴텍,303360,20200224
1058,00107303,피엔에스커튼월,033220,20200224
1059,01159853,휴온스,243070,20200224
1060,00351807,대원미디어,048910,20200219
1061,00657756,지오씨,135160,20200226
1062,00138516,아남전자,008700,20200226
1063,00111111,대양금속,009190,20200218
1064,00664288,스페이스솔루션,245030,20200224
1065,00231354,파워넷,037030,20200224
1066,00152039,SG충방,001380,20200224
1067,00166175,대호피앤씨,021040,20200224
1068,00409672,티비에이치글로벌,084870,20200224
1069,00185505,제일바이오,052670,20200224
1070,00230425,나노엔텍,039860,20200225
1071,00423690,삼성출판사,068290,20200225
1072,00472890,동국알앤에스,075970,20200224
1073,00481223,넥스피안,079560,20200224
1074,00240857,바이오스마트,038460,20200224
1075,01414370,하이제5호스팩,340120,20200224
1076,00265005,옴니시스템,057540,20200224
1077,00175650,케이씨더블류,068060,20200224
1078,00131328,서주산업개발,016140,20200224
1079,00364847,이글루시큐리티,067920,20200225
1080,00138242,쌍용자동차,003620,20200121
1081,00260879,카페24,042000,20200224
1082,00614089,에이원알폼,234070,20200224
1083,00761952,아나패스,123860,20200225
1084,01069736,한독크린텍,256150,20200218
1085,01117422,나눔테크,244880,20200218
1086,00106368,금호석유화학,011780,20200128
1087,00145109,유한양행,000100,20200224
1088,00128607,삼천리자전거,024950,20200224
1089,00612294,피엔티,137400,20200130
1090,00349060,한스바이오메드,042520,20200130
1091,00131939,선도전기,007610,20200219
1092,00330044,캠시스,050110,20200225
1093,00101664,경보제약,214390,20200224
1094,00142865,WISCOM,024070,20200211
1095,00276834,KMH하이텍,052900,20200225
1096,00385363,빅텍,065450,20200219
1097,01158632,진코스텍,250030,20200225
1098,00189538,피델릭스,032580,20200224
1099,00491053,진바이오텍,086060,20200218
1100,00356389,프럼파스트,035200,20200218
1101,00303396,한국컴퓨터,054040,20200224
1102,00795135,코오롱인더,120110,20200203
1103,00614593,넥스트아이,137940,20200225
1104,00797364,KC코트렐,119650,20200225
1105,01363924,한국미라클피플사,331660,20200218
1106,01398151,교보9호스팩,331520,20200206
1107,00435969,인피니트헬스케어,071200,20200224
1108,00218575,황금에스티,032560,20200224
1109,00842619,레고켐바이오,141080,20200224
1110,00416654,유엔젤,072130,20200219
1111,00123523,창해에탄올,004650,20200226
1112,00541163,이엠텍,091120,20200218
1113,00361381,제이브이엠,054950,20200224
1114,00118044,동원수산,030720,20200224
1115,00220686,에스피지,058610,20200224
1116,00106881,인디에프,014990,20200224
1117,01037542,바이옵트로,222160,20200225
1118,00244783,한네트,052600,20200224
1119,00855163,미원화학,134380,20200210
1120,00654272,램테크놀러지,171010,20200212
1121,00972293,파멥신,208340,20200224
1122,00524786,비엠티,086670,20200225
1123,00127200,삼영전자공업,005680,20200225
1124,00838005,서진시스템,178320,20200219
1125,00441650,케이씨에스,115500,20200224
1126,01264234,엘에이티,311060,20200226
1127,01406618,IBKS제11호스팩,335890,20200226
1128,00398668,휴비츠,065510,20200224
1129,00606664,케이엔더블유,105330,20200224
1130,00133511,SG세계물산,004060,20200224
1131,00167004,흥구석유,024060,20200211
1132,01119651,엘리비젼,276240,20200212
1133,00259934,예림당,036000,20200224
1134,00269922,인바디,041830,20200225
1135,00493510,뉴프렉스,085670,20200225
1136,00109268,대동스틸,048470,20200219
1137,00665630,테라텍,151750,20200226
1138,01011438,에이치엘사이언스,239610,20200226
1139,00599489,청광건설,140290,20200218
1140,01276901,삼성스팩2호,291230,20200218
1141,01309388,티라유텍,322180,20200218
1142,01251489,라온피플,300120,20200218
1143,00216498,성도이엔지,037350,20200218
1144,01416457,하나금융15호스팩,341160,20200218
1145,00141556,오로라,039830,20200224
1146,00458234,아시아나IDT,267850,20200224
1147,00497631,티플랙스,081150,20200224
1148,01113499,시큐센,232830,20200217
1149,00638539,뉴로스,126870,20200224
1150,00365457,제이티,089790,20200224
1151,00833064,엠플러스,259630,20200225
1152,00872850,비지스틸,179440,20200207
1153,00869272,서전기전,189860,20200224
1154,00295547,디지아이,043360,20200224
1155,00592653,유비벨록스,089850,20200225
1156,00493185,제이스텍,090470,20200219
1157,01246034,네오펙트,290660,20200226
1158,00146296,일신석재,007110,20200217
1159,00115472,미주제강,002670,20200224
1160,00416414,넥스턴,089140,20200226
1161,00340096,미래에셋벤처투자,100790,20200218
1162,00352499,링네트,042500,20200218
1163,00148948,조비,001550,20200224
1164,00537832,푸른기술,094940,20200224
1165,00422895,세이브존I&C,067830,20200224
1166,01222432,에스제이그룹,306040,20200212
1167,00156910,SBI인베스트먼트,019550,20200224
1168,01116344,이비테크,208850,20200219
1169,01035289,모두투어리츠,204210,20200219
1170,00910947,바다로19호,155900,20200226
1171,00646732,진양홀딩스,100250,20200224
1172,00761059,펌텍코리아,251970,20200224
1173,00307222,YBM넷,057030,20200226
1174,00198378,녹십자셀,031390,20200226
1175,01124680,보라티알,250000,20200218
1176,00138206,쌍용건설,012650,20200218
1177,00957735,클리오,237880,20200218
1178,00407975,엔터미디어,068420,20200224
1179,00200910,아이즈비전,031310,20200224
1180,00579980,아이티엠반도체,084850,20200224
1181,00296078,APS홀딩스,054620,20200212
1182,00159740,KISCO홀딩스,001940,20200224
1183,01138993,원바이오젠,278380,20200224
1184,01137903,디케이티,290550,20200219
1185,00405320,웹젠,069080,20200219
1186,01199550,현대에너지솔루션,322000,20200217
1187,01068658,디딤,217620,20200217
1188,00347734,진양화학,051630,20200224
1189,00608316,대한과학,131220,20200218
1190,00991191,앱클론,174900,20200218
1191,00249982,솔본,035610,20200224
1192,00107066,남광토건,001260,20200224
1193,01258710,이노메트리,302430,20200224
1194,00687711,한국철강,104700,20200224
1195,00870861,와이엠씨,155650,20200224
1196,00163114,서연,007860,20200225
1197,01181515,엘앤씨바이오,290650,20200225
1198,01108099,현대코퍼레이션홀딩스,227840,20200219
1199,00148832,제주은행,006220,20200219
1200,00962223,지니언스,263860,20200221
1201,00148939,조광피혁,004700,20200224
1202,00158963,유나이티드,033270,20200219
1203,00580667,S&K폴리텍,091340,20200219
1204,00815767,선데이토즈,123420,20200219
1205,01108248,지노믹트리,228760,20200225
1206,00160375,진양폴리우레탄,010640,20200225
1207,00134963,송원산업,004430,20200225
1208,00447928,네오티스,085910,20200225
1209,00669450,바이오프로테크,199290,20200225
1210,00121570,문배철강,008420,20200225
1211,00490151,파트론,091700,20200225
1212,00132211,선창산업,002820,20200217
1213,00336297,고려신용정보,049720,20200220
1214,00121154,엠에스씨,009780,20200220
1215,00563545,테스나,131970,20200225
1216,00334615,콜마파마,038710,20200225
1217,00445869,유니포인트,121060,20200225
1218,00521433,엔지브이아이,093510,20200225
1219,00398808,디지털대성,068930,20200225
1220,00536888,다믈멀티미디어,093640,20200225
1221,00137252,사조동아원,008040,20200225
1222,00470829,한솔인티큐브,070590,20200225
1223,00140946,한솔로지스틱스,009180,20200225
1224,00101628,경방,000050,20200226
1225,00113508,노루홀딩스,000320,20200226
1226,00306454,한국정보인증,053300,20200217
1227,00160861,한농화성,011500,20200219
1228,00155452,풍국주정,023900,20200220
1229,00147222,전방,000950,20200220
1230,00201733,TJ미디어,032540,20200220
1231,00113261,대한광통신,010170,20200220
1232,00129387,삼화페인트공업,000390,20200225
1233,00264228,위즈코프,038620,20200225
1234,00414850,효성 ITX,094280,20200225
1235,00148531,제일제강,023440,20200225
1236,00306162,상상인,038540,20200120
1237,00104722,국제약품,002720,20200224
1238,00143314,에이엔피,015260,20200130
1239,00160621,한국화장품제조,003350,20200214
1240,00269612,파워로직스,047310,20200225
1241,01196313,유에스티,263770,20200225
1242,01071041,천랩,311690,20200225
1243,00161462,에이티넘인베스트,021080,20200225
1244,00133089,성원,015200,20200225
1245,01109070,비피도,238200,20200225
1246,00568461,보광산업,225530,20200225
1247,00173874,넥센타이어,002350,20200121
1248,01135057,녹십자웰빙,234690,20200217
1249,01182578,대유에이피,290120,20200217
1250,00359623,우리산업홀딩스,072470,20200220
1251,00185356,제룡전기,033100,20200220
1252,00113191,코리안리,003690,20200131
1253,00445799,서원인텍,093920,20200225
1254,00202839,한창산업,079170,20200220
1255,00925967,이엠티,232530,20200123
1256,00317681,메타바이오메드,059210,20200225
1257,00159971,KC그린홀딩스,009440,20200225
1258,00569691,디엔에프,092070,20200225
1259,00540571,엘디티,096870,20200225
1260,00267942,큐캐피탈,016600,20200226
1261,00130408,서산,079650,20200204
1262,00453488,세화아이엠씨,145210,20200205
1263,00112679,대창단조,015230,20200214
1264,00225706,JW생명과학,234080,20200220
1265,00146214,일성신약,003120,20200220
1266,00207375,대한뉴팜,054670,20200220
1267,00929778,세기리텍,199870,20200220
1268,00164706,현대약품,004310,20200203
1269,00264732,파인디지털,038950,20200203
1270,00614478,휴메딕스,200670,20200203
1271,00339072,팬스타엔터프라이즈,054300,20200225
1272,01335930,티움바이오,321550,20200221
1273,00525864,피앤씨테크,237750,20200221
1274,00531917,톱텍,108230,20200128
1275,00413046,셀트리온,068270,20200225
1276,00321204,관악산업,076340,20200225
1277,01020524,자이글,234920,20200225
1278,00832700,에이펙스인텍,207490,20200225
1279,00102140,경인전자,009140,20200218
1280,00231664,우리기술투자,041190,20200226
1281,00788773,씨젠,096530,20200226
1282,00136864,신원,009270,20200220
1283,00132628,성문전자,014910,20200220
1284,00396925,엠로,058970,20200203
1285,00108649,TPC,048770,20200204
1286,01231786,슈프리마아이디,317770,20200214
1287,00531829,엠아이텍,179290,20200214
1288,00548519,에스엔피제네틱스,086460,20200203
1289,00206039,경남스틸,039240,20200225
1290,01328170,노드메이슨,317860,20200225
1291,00109037,대성창투,027830,20200225
1292,00442154,제이엔케이히터,126880,20200225
1293,00246620,케이엘넷,039420,20200226
1294,01187148,케어랩스,263700,20200206
1295,00516246,알에프세미,096610,20200217
1296,00123107,보락,002760,20200220
1297,00352000,하우리,049130,20200220
1298,00109781,대림제지,017650,20200220
1299,00506294,가비아,079940,20200224
1300,00607797,엄지하우스,224810,20200225
1301,00867098,티로보틱스,117730,20200225
1302,00823429,한국화장품,123690,20200225
1303,00250997,대정화금,120240,20200225
1304,00536286,윈팩,097800,20200225
1305,01390399,미래에셋대우스팩3호,328380,20200225
1306,00407036,선바이오,067370,20200218
1307,00250137,전파기지국,065530,20200217
1308,00486097,나스미디어,089600,20200219
1309,01325429,네온테크,306620,20200220
1310,00554352,아이큐어,175250,20200220
1311,01035942,메디안디노스틱,233250,20200220
1312,00629212,딜리,131180,20200220
1313,00122551,백산,035150,20200214
1314,00201742,유라테크,048430,20200225
1315,00353610,이니텍,053350,20200225
1316,00109453,STX조선해양,067250,20200225
1317,00825959,하이비젼시스템,126700,20200220
1318,00170558,코웨이,021240,20200221
1319,00155586,피에스엠씨,024850,20200221
1320,00428321,해태제과식품,101530,20200213
1321,00560982,바이오솔루션,086820,20200225
1322,00914040,씨엠에스에듀,225330,20200225
1323,00545734,아미코젠,092040,20200225
1324,00332927,제이에스코퍼레이션,194370,20200225
1325,00560849,에스앤디,260970,20200225
1326,00989619,알테오젠,196170,20200217
1327,00140168,지투알,035000,20200225
1328,00609324,뷰웍스,100120,20200225
1329,00138057,써니전자,004770,20200225
1330,00158219,시그네틱스,033170,20200225
1331,00151298,DSR제강,069730,20200225
1332,00576789,디젠스,113810,20200217
1333,00899459,레이언스,228850,20200217
1334,00917861,슈피겐코리아,192440,20200217
1335,00410915,서울옥션,063170,20200220
1336,01109955,링크제니시스,219420,20200220
1337,01316227,효성티앤씨,298020,20200225
1338,01211232,코윈테크,282880,20200214
1339,00541349,셀트리온제약,068760,20200225
1340,00264255,바텍,043150,20200225
1341,00617314,타이거일렉,219130,20200225
1342,00449254,쎄트렉아이,099320,20200225
1343,00598198,컴퍼니케이,307930,20200225
1344,00858124,알에스오토메이션,140670,20200217
1345,01222867,제테마,216080,20200220
1346,00172936,동일산업,004890,20200225
1347,00132725,성보화학,003080,20200214
1348,00360036,백금T&A,046310,20200213
1349,00231363,LG유플러스,032640,20200225
1350,00201131,아즈텍WB,032080,20200225
1351,00296263,YW,051390,20200225
1352,00675594,디티앤씨,187220,20200225
1353,01203808,AP시스템,265520,20200225
1354,00626464,지엔씨에너지,119850,20200225
1355,00372226,티에스이,131290,20200225
1356,00101488,경동나비엔,009450,20200226
1357,01076550,주노콜렉션,221670,20200217
1358,00225742,KT서브마린,060370,20200217
1359,00155638,피에스텍,002230,20200217
1360,00527880,썬테크놀로지스,122800,20200212
1361,00977641,하이로닉,149980,20200225
1362,01190513,명진홀딩스,267060,20200225
1363,00385336,홈캐스트,064240,20200225
1364,00161709,퍼시스,016800,20200225
1365,00231044,우리기술,032820,20200217
1366,00450995,대모,317850,20200224
1367,00962922,팬젠,222110,20200224
1368,01116274,엠앤씨생명과학,225860,20200212
1369,00256380,유아이엘,049520,20200213
1370,00219848,서희건설,035890,20200225
1371,00897752,천보,278280,20200225
1372,00291231,우전,052270,20200225
1373,00389110,지어소프트,051160,20200225
1374,00118026,동원산업,006040,20200225
1375,00360577,엑사이엔씨,054940,20200225
1376,00178851,동양에스텍,060380,20200226
1377,00167031,흥국,010240,20200217
1378,00831428,디에이치피코리아,131030,20200220
1379,00127857,삼익악기,002450,20200220
1380,00111421,휴니드테크놀러지스,005870,20200220
1381,01118139,이도바이오,336040,20200224
1382,01384477,신한제5호스팩,323230,20200213
1383,01085442,휴벡셀,212310,20200214
1384,00861720,이즈미디어,181340,20200218
1385,01335453,삼성머스트스팩3호,309930,20200218
1386,00219440,휴맥스홀딩스,028080,20200218
1387,00605328,씨앤지하이테크,264660,20200225
1388,00137207,유니켐,011330,20200225
1389,00351995,지에스이,053050,20200225
1390,00242712,엘컴텍,037950,20200225
1391,00163196,한일철강,002220,20200225
1392,00140779,영보화학,014440,20200226
1393,00101433,경농,002100,20200226
1394,00301112,삼화네트웍스,046390,20200226
1395,00111227,대양제지,006580,20200226
1396,00128546,삼천당제약,000250,20200220
1397,00131692,서흥,008490,20200220
1398,00129271,삼화전기,009470,20200220
1399,00883980,아이디스,143160,20200224
1400,00106456,지앤엘,014590,20200214
1401,00162072,한신기계공업,011700,20200226
1402,00370918,케이디켐,221980,20200226
1403,00863038,윌링스,313760,20200226
1404,00145260,율촌화학,008730,20200221
1405,00671376,티웨이항공,091810,20200224
1406,01203507,에스엠비나,299670,20200224
1407,01071944,미래생명자원,218150,20200224
1408,01336443,한국제8호스팩,310870,20200226
1409,00131504,서한,011370,20200226
1410,00533508,제이엠티,094970,20200226
1411,00222435,제이엠아이,033050,20200226
1412,01055317,비엔디생활건강,215050,20200226
1413,01337114,구스앤홈,329050,20200226
1414,00819374,나무가,190510,20200226
1415,00560122,텔레필드,091440,20200226
1416,00491336,잘만테크,090120,20200226
1417,00787057,휴맥스,115160,20200218
1418,00403766,피피아이,062970,20200221
1419,00188797,포메탈,119500,20200221
1420,01038693,드림시큐리티,203650,20200226
1421,00111193,대양전기공업,108380,20200226
1422,00238153,파세코,037070,20200224
1423,01078178,RFHIC,218410,20200226
1424,00409140,이원컴포텍,088290,20200226
1425,00128227,삼정펄프,009770,20200226
1426,01276327,위지윅스튜디오,299900,20200226
1427,00150536,진양제약,007370,20200226
1428,01093007,LS전선아시아,229640,20200221
1429,00298447,아모텍,052710,20200221
1430,01095704,케이엠제약,225430,20200210
1431,00298340,에스티아이,039440,20200219
1432,00180795,인팩,023810,20200221
1433,00148993,하이트진로홀딩스,000140,20200122
1434,01063990,로보로보,215100,20200221
1435,00807555,메가엠디,133750,20200221
1436,00545114,랩지노믹스,084650,20200226
1437,01101041,패션플랫폼,225590,20200226
1438,00199076,동일기연,032960,20200226
1439,00130046,다함이텍,009280,20200224
1440,01235296,셀리드,299660,20200210
1441,00366845,탑엔지니어링,065130,20200221
1442,00471068,덕산하이메탈,077360,20200221
1443,00463342,에스텍파마,041910,20200221
1444,00410997,누리플랜,069140,20200221
1445,00226866,인탑스,049070,20200226
1446,00105961,LG이노텍,011070,20200122
1447,01011562,우성아이비,194610,20200224
1448,00397191,팬엔터테인먼트,068050,20200226
1449,00543107,오킨스전자,080580,20200226
1450,00404701,한국자산신탁,123890,20200212
1451,00340272,에스폴리텍,050760,20200221
1452,01276026,지놈앤컴퍼니,314130,20200206
1453,00871833,에스티팜,237690,20200221
1454,00965813,미투온,201490,20200221
1455,00310156,셀루메드,049180,20200210
1456,01077577,우리산업,215360,20200210
1457,00117638,동양텔레콤,007150,20200226
1458,99999999,금감원(테스트),999980,20200129
1459,00149594,한국캐피탈,023760,20200203
1460,01042085,엑셈,205100,20200226
1461,00248053,지에스엔텍,037640,20200226
1462,00574611,SDN,099220,20200226
1463,00144164,SK가스,018670,20200226
1464,00105475,금강철강,053260,20200226
1465,00613318,와이지엔터테인먼트,122870,20200221
1466,00173102,모나리자,012690,20200221
1467,00110060,대백저축은행,026970,20200221
1468,01013311,민앤지,214180,20200207
1469,00977377,에이비온,203400,20200207
1470,00104999,윌비스,008600,20200221
1471,00117337,동양,001520,20200226
1472,00485177,일진파워,094820,20200226
1473,01267222,캐리소프트,317530,20200226
1474,00788737,이퓨쳐,134060,20200226
1475,00983934,아이스크림에듀,289010,20200226
1476,00124805,푸른저축은행,007330,20200224
1477,01027794,브이원텍,251630,20200221
1478,01393721,유진스팩5호,331380,20200221
1479,01124653,슈프리마,236200,20200221
1480,00166528,서암기계공업,100660,20200205
1481,01359736,유진스팩4호,321260,20200217
1482,00162911,한일사료,005860,20200226
1483,00521390,뉴파워프라즈마,144960,20200226
1484,00599285,서플러스글로벌,140070,20200226
1485,00155212,포스코 ICT,022100,20200226
1486,01251595,압타바이오,293780,20200213
1487,00161383,한미반도체,042700,20200219
1488,00878915,DGB금융지주,139130,20200120
1489,00165343,혜인,003010,20200221
1490,00144021,원풍물산,008290,20200226
1491,01014055,에스트래픽,234300,20200226
1492,00180263,리더스코스메틱,016100,20200226
1493,00144012,원풍,008370,20200226
1494,00541862,판도라티비,202960,20200226
1495,01366000,신영스팩5호,323280,20200226
1496,00141671,오리콤,010470,20200226
1497,00231105,동성화인텍,033500,20200226
1498,00309831,알에프텍,061040,20200226
1499,00137359,신풍제약,019170,20200214
